Date,Time,Open,High,Low,Close,Quantity,Average,Open – Close,Gain,Loss,Avg Gain,Avg Loss,RSI
18-May-2012,0,290.03,303.63,287.77,297.86,38520432,0,,,,,,
11-May-2012,0,301.13,306.1,286.51,288.91,50720120,0,,,,,,
04-May-2012,0,299,312.25,298.79,305.24,43195912,0,,,,,,
28-Apr-2012,0,298.75,300.54,274.79,299.48,127507592,0,,,,,,
20-Apr-2012,0,300,303.55,291.63,300.93,104964928,0,,,,,,
13-Apr-2012,0,354.69,357.42,298.64,300.32,109025440,0,,,,,,
04-Apr-2012,0,358,361.09,355.13,356.39,15557312,0,,,,,,
30-Mar-2012,0,358.63,362.97,345.98,358.29,40397144,0,,,,,,
23-Mar-2012,0,361.88,362.5,350.38,359.09,32699952,0,,,,,,
16-Mar-2012,0,364.38,364.38,347.63,358.12,40889352,0,,,,,,
09-Mar-2012,0,357.26,362.88,349.59,356.91,30683520,0,,,,,,
03-Mar-2012,0,370.63,370.63,350.63,357.26,39787016,0,,,,,,
